	acc_expect	blca_expect	brca_expect	cesc_expect	chol_expect	coad_expect	dlbc_expect	esca_expect	gbm_expect	hnsc_expect	kich_expect	kirc_expect	kirp_expect	laml_expect	lgg_expect	lihc_expect	luad_expect	lusc_expect	meso_expect	ov_expect	paad_expect	pcpg_expect	prad_expect	read_expect	sarc_expect	skcm_expect	stad_expect	tgct_expect	thca_expect	thym_expect	ucec_expect	ucs_expect	uvm_expect	pancancer_expect
A1BG	0.836	5.798	3.069	3.617	0.263	8.949	0.46	1.509	2.92	4.153	0.456	0.991	1.328	0.785	1.602	2.172	9.307	6.939	0.198	1.908	1.491	0.199	1.451	2.55	1.688	8.384	9.678	0.265	0.397	0.198	19.146	0.686	0.198	103.591
A1CF	0.637	7.31	4.679	5.275	0.401	25.203	0.482	2.318	3.326	26.871	0.242	1.734	1.772	0.958	1.985	2.98	14.663	14.906	0.162	2.812	1.336	0.567	1.47	2.527	1.201	77.679	9.213	0.324	0.728	0.483	40.7	0.69	0.322	255.956
A2M	1.145	17.856	10.633	4.877	0.712	20.139	0.661	2.713	5.421	11.597	0.433	2.74	2.73	0.835	9.886	5.859	20.064	16.65	0.578	4.857	1.866	0.29	3.038	3.923	1.15	74.8	44.024	0.724	0.869	0.434	47.9	1.188	0.433	321.025
A2ML1	0.837	14.85	9.999	7.222	0.673	33.555	1.074	2.846	4.812	9.491	0.766	2.179	3.244	1.08	7.188	11.589	17.76	20.826	0.312	5.277	1.97	0.78	2.958	4.335	2.77	69.1	24.542	0.338	0.936	0.621	49.439	6.625	0.827	320.821
A4GALT	0.392	3.921	3.251	10.392	0.088	9.593	0.263	1.007	1.683	2.618	0.175	0.923	1.184	0.394	0.949	1.054	3.979	2.332	0.264	1.228	0.591	0.176	0.815	0.882	0.872	22.453	2.778	0.176	0.484	0.22	28.624	0.218	0.132	104.111
A4GNT	0.266	3.221	2.608	1.625	0.303	5.606	0.191	0.686	1.374	17.575	0.19	0.868	1.067	0.531	1.032	1.221	4.044	3.381	0.115	1.03	0.847	0.115	0.638	1.147	0.785	23.38	5.204	0.077	0.344	0.267	20.547	0.335	0.191	100.811
AAAS	0.333	5.768	4.341	3.317	0.134	7.778	0.334	1.464	2.321	4.611	0.201	1.272	1.469	0.796	1.239	1.472	7.345	5.459	0.201	1.935	0.946	0.201	1.41	1.459	0.8	26.927	7.817	0.335	0.87	0.268	19.624	0.456	0.201	113.104
AACS	0.529	10.999	6.915	3.64	0.462	11.359	1.037	1.24	5.012	8.832	0.526	1.865	2.45	0.707	2.407	1.758	22.656	7.177	0.533	1.951	1.39	0.445	2.916	1.635	1.664	36.414	13.21	0.445	1.066	0.267	29.739	0.832	0.355	182.433
AADAC	0.424	4.814	2.8	2.879	0.214	2.315	0.129	1.195	2.15	4.538	0.256	0.687	0.985	0.427	1.4	2.582	3.909	2.984	0.086	1.668	0.829	0.172	1.235	1.496	0.556	40.602	3.33	0.086	0.301	0.129	25.227	0.532	0.086	111.023
AADACL2	0.487	3.143	6.034	2.148	0.179	7.655	0.313	1.251	1.795	2.53	0.09	0.54	0.584	0.269	0.811	1.48	9.791	7.086	0.18	1.344	0.861	0.135	0.832	1.485	0.67	19.031	5.754	0.27	0.315	0.224	23.923	0.393	0.09	101.693
