	acc_observed	blca_observed	brca_observed	cesc_observed	chol_observed	coad_observed	dlbc_observed	esca_observed	gbm_observed	hnsc_observed	kich_observed	kirc_observed	kirp_observed	laml_observed	lgg_observed	lihc_observed	luad_observed	lusc_observed	meso_observed	ov_observed	paad_observed	pcpg_observed	prad_observed	read_observed	sarc_observed	skcm_observed	stad_observed	tgct_observed	thca_observed	thym_observed	ucec_observed	ucs_observed	uvm_observed	pancancer_observed
A1BG	1.0	4.0	3.0	1.0	0.0	8.0	0.0	0.0	2.0	7.0	0.0	1.0	0.0	0.0	1.0	4.0	5.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	1.0	6.0	5.0	0.0	0.0	1.0	17.0	0.0	0.0	73.0
A1CF	0.0	3.0	8.0	4.0	1.0	7.0	0.0	1.0	4.0	8.0	0.0	3.0	0.0	0.0	3.0	4.0	14.0	16.0	0.0	3.0	1.0	0.0	6.0	1.0	2.0	54.0	10.0	0.0	1.0	0.0	23.0	0.0	0.0	177.0
A2M	0.0	15.0	12.0	5.0	1.0	22.0	1.0	5.0	5.0	8.0	0.0	3.0	3.0	0.0	4.0	4.0	25.0	21.0	0.0	2.0	1.0	1.0	2.0	7.0	3.0	55.0	26.0	1.0	1.0	0.0	43.0	1.0	0.0	277.0
A2ML1	1.0	12.0	10.0	6.0	0.0	35.0	0.0	1.0	6.0	7.0	0.0	1.0	2.0	0.0	5.0	5.0	29.0	18.0	1.0	8.0	1.0	0.0	1.0	6.0	1.0	54.0	18.0	0.0	1.0	1.0	48.0	2.0	0.0	280.0
A4GALT	1.0	1.0	1.0	1.0	0.0	8.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	16.0	4.0	0.0	0.0	1.0	18.0	0.0	0.0	63.0
A4GNT	0.0	3.0	1.0	3.0	0.0	6.0	0.0	1.0	2.0	5.0	0.0	1.0	1.0	0.0	0.0	1.0	8.0	11.0	0.0	2.0	1.0	0.0	1.0	4.0	1.0	4.0	2.0	0.0	0.0	0.0	20.0	1.0	0.0	79.0
AAAS	0.0	3.0	2.0	3.0	0.0	7.0	0.0	0.0	0.0	5.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0	8.0	1.0	1.0	0.0	21.0	0.0	0.0	73.0
AACS	1.0	2.0	2.0	4.0	0.0	8.0	0.0	3.0	3.0	4.0	0.0	1.0	0.0	1.0	2.0	1.0	13.0	5.0	0.0	2.0	1.0	0.0	0.0	3.0	1.0	15.0	9.0	1.0	1.0	0.0	21.0	0.0	0.0	104.0
AADAC	0.0	2.0	6.0	0.0	0.0	8.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	0.0	1.0	6.0	7.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	21.0	8.0	0.0	0.0	0.0	18.0	0.0	0.0	89.0
AADACL2	0.0	5.0	4.0	5.0	0.0	9.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	6.0	2.0	9.0	9.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	23.0	7.0	0.0	1.0	0.0	27.0	1.0	0.0	116.0
AADACL3	0.0	4.0	1.0	2.0	0.0	6.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	8.0	3.0	0.0	1.0	2.0	0.0	1.0	2.0	1.0	15.0	4.0	0.0	0.0	0.0	17.0	0.0	0.0	76.0
AADACL4	0.0	7.0	4.0	0.0	0.0	11.0	0.0	1.0	6.0	5.0	0.0	2.0	0.0	0.0	2.0	1.0	6.0	5.0	0.0	0.0	1.0	1.0	6.0	2.0	1.0	17.0	3.0	0.0	0.0	0.0	18.0	0.0	1.0	100.0
AADAT	0.0	4.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	13.0	8.0	0.0	0.0	0.0	13.0	0.0	0.0	58.0
AAED1	0.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	18.0
AAGAB	0.0	5.0	1.0	3.0	0.0	4.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	37.0
AAK1	0.0	3.0	8.0	3.0	0.0	10.0	0.0	4.0	1.0	5.0	0.0	1.0	1.0	0.0	0.0	1.0	9.0	9.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	17.0	6.0	1.0	0.0	0.0	25.0	0.0	0.0	109.0
AAMDC	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	9.0	0.0	0.0	16.0
