"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"NRAS",1,132,2,2,1,62.2608198754792,22.2465280916233,22.2465280916233,20.4048452885255,0,0.000194371188234843,0,0.0474890924735496,0,0.150196597801009,0,0,0
"BRAF",13,292,1,1,2,12.2576782993394,0.760299333923132,0.760299333923132,13.6382477050168,0,0.706028910666636,0,0.0119868712478042,0,0.870382735728273,0,0,0
"CDKN2A.p16INK4a",8,22,23,7,9,2.1403180852158,50.9818383829663,50.9818383829663,407.556039854274,0.0376061053190417,0,0,1.99074881862047e-18,0.449126383434067,0,0,0,0
"ARID2",17,59,37,3,8,1.6052854813781,12.7447497484061,12.7447497484061,21.0407107548737,0.061812164195701,0,0,6.75612897495222e-07,0.482119669795114,0,0,0,0
"NF1",25,49,42,12,9,0.867768495414574,9.77164147804112,9.77164147804112,15.4912933817745,0.556161719094098,0,0,2.19824407914636e-06,0.870940287598702,0,0,0,0
"TP53",9,48,22,7,4,2.85986485567542,17.434096114855,17.434096114855,44.2969822071906,0.000499528105070701,0,1.11022302462516e-16,9.29435008460429e-06,0.0671455306235262,0,3.71758179795734e-13,0,0
"PTEN",0,22,8,3,13,8.96345217637423,47.670271756861,47.670271756861,147.782942973374,5.07221469991936e-05,2.4966717582231e-10,7.55922435757839e-10,3.64988036367595e-19,0.0143760678057194,1.00321264588921e-06,1.89840470710134e-06,0,0
"CDKN2A.p14arf",16,25,0,5,6,1.54316990575483,5.46276747820354,5.46276747820354,320.714166780321,0.156336943928983,0.00470027600902134,0.0130232934349065,1.21834077134751e-12,0.600337450397017,0.491228680461448,0.329950805045027,5.20028464734423e-13,1.30598648562241e-09
"RB1",8,8,10,2,6,0.466795370646025,5.82736266134592,5.82736266134592,35.823095280243,0.106075578341129,6.63617971943253e-05,6.52560397385038e-07,4.44070508956388e-07,0.540163381283823,0.0740708259683995,0.000595935951993764,8.65574278918757e-12,1.93225031530631e-08
"DNAH17",159,163,16,3,0,0.444954344827417,0.583704475496822,0.583704475496822,0,6.56807941368243e-13,0.0172296635006739,5.88440407511825e-12,1,4.39864278334312e-09,0.706451366106203,1.6889080324743e-08,1.58047575027354e-10,3.17533382987456e-07
"DDX3X",3,23,10,1,5,3.25076159470601,14.8016834052752,14.8016834052752,25.1985019297765,0.00702504866353104,2.36056120983541e-07,1.37807316369365e-06,1.47770324863316e-05,0.253490411337631,0.000790433921113387,0.00102543955302849,5.21665599606536e-10,9.52798505608628e-07
"B2M",1,2,0,1,5,1.31040688780585,8.95182951026548,8.95182951026548,188.951133521133,0.76760556651741,0.122566425971644,0.303408272457124,8.79761287090073e-10,0.943271497556062,0.852895326354629,0.75009692655079,6.15107476065191e-09,1.02984369180215e-05
"CACNA1C",91,85,4,1,1,0.416657120726069,0.266065938097036,0.266065938097036,2.4922613403179,7.28301419172794e-09,0.000391847166854586,6.65160770907391e-09,0.315467708976813,2.4387173021001e-05,0.224931469407871,1.48486056092227e-05,4.40281685554211e-08,6.80438411113051e-05
