"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"NRAS",0,114,2,2,1,86.9500573945527,35.8483055976962,35.8483055976962,23.2563128018211,0,5.17121416960808e-05,0,0.0418329035210312,0,0.0649342899259975,0,0,0
"BRAF",11,223,1,1,2,11.3050539838512,0.91740583018154,0.91740583018154,15.7528034657442,0,0.908595941690228,0,0.0091223949585817,0,0.950265542139426,0,0,0
"CDKN2A.p16INK4a",8,20,22,6,7,2.11857714298538,51.8047003897646,51.8047003897646,369.093797399119,0.0444414078982397,0,0,9.21367399397933e-15,0.501752364940903,0,0,0,0
"NF1",21,42,32,9,7,0.88377107009319,8.80074765306689,8.80074765306689,14.1910273883571,0.635057761002132,0,0,2.30342642362529e-05,0.912914336823815,0,0,0,0
"ARID2",13,47,30,1,6,1.65142501497651,12.756805823196,12.756805823196,18.0379122100066,0.0770909037783705,1.11022302462516e-16,1.11022302462516e-16,1.80395406977157e-05,0.54591229506123,7.43516359591467e-13,4.4610981575488e-13,0,0
"TP53",7,43,18,7,4,3.2868577638604,19.2649545948243,19.2649545948243,48.7856831514155,0.000245176733579155,2.22044604925031e-16,2.66453525910038e-15,6.24243795371349e-06,0.0557827490090341,1.1152745393872e-12,8.92219631509761e-12,0,0
"PTEN",0,18,7,2,8,7.83307954622523,41.4560417963926,41.4560417963926,105.461873478437,0.000255438400718289,1.10448643564354e-08,3.09842778101199e-08,3.65373912668599e-12,0.0557827490090341,4.43804739570286e-05,6.9167236164791e-05,0,0
"CDKN2A.p14arf",14,24,0,5,5,1.82813725638286,6.76690866695347,6.76690866695347,311.202359521698,0.0575971325447556,0.00193971715254782,0.00365505951400824,7.11279238217901e-11,0.528520815998616,0.481121695207878,0.249774832299114,7.79365461056614e-12,1.95727893476105e-08
"RB1",6,7,10,2,3,0.529961553802994,7.54079682908186,7.54079682908186,20.8600832085786,0.217428035507353,1.16300441139749e-05,2.41385610499911e-07,0.000829830326045929,0.684264827910124,0.0233659216293871,0.000346405592896694,4.6734435210638e-09,1.04326837535214e-05
"DNAH17",134,140,13,2,0,0.451487626920101,0.54394214092709,0.54394214092709,0,7.43737293973368e-11,0.015192429388095,5.4873972032965e-10,1,4.98080865773964e-07,0.805054522881151,1.57496138873471e-06,1.22497345600436e-08,2.46109417045837e-05
"DDX3X",3,21,7,1,5,3.15089278856274,11.3918973755733,11.3918973755733,28.8394662770849,0.00973508613021823,2.63067595756006e-05,8.98778798069655e-05,7.61606645021972e-06,0.355604034976198,0.0406560851256455,0.0300956080533624,1.51293821915033e-08,2.76331288735902e-05
"BCLAF1",11,93,6,0,0,4.80233562249265,3.81058709627466,3.81058709627466,0,1.72388325836437e-10,0.0143741239241976,1.32211419590078e-09,1,8.65863463594962e-07,0.788479255902663,3.32032453873032e-06,2.83514614007885e-08,4.74674342502701e-05
"B2M",1,0,0,1,4,0,9.8103691543699,9.8103691543699,175.776876370283,0.129709725605398,0.110621910252314,0.0644886363380042,4.09657438434311e-08,0.604639929730407,0.846456996062793,0.645798350468826,5.48226122276674e-08,8.47262386358512e-05
"CACNA1C",79,73,4,1,1,0.41234400619694,0.306634602016847,0.306634602016847,2.81477335602879,5.1077790774734e-08,0.00213911567338598,9.46671057100446e-08,0.286896292134736,0.000128275486806897,0.490750206231242,0.000158496401735042,5.0032225407115e-07,0.000717998171895963
"PRB2",5,66,1,0,0,5.64522347044284,0.936508935535205,0.936508935535205,0,4.03186416475521e-08,0.950586672375216,5.47086017599341e-08,1,0.000115720261334424,0.974300420094401,0.000109915051795884,9.69504529213516e-07,0.00129855436642858
"EPPK1",87,74,5,0,0,0.405187238456044,0.606902236220233,0.606902236220233,0,1.00853454476635e-08,0.241061230807345,7.44862750368114e-08,1,4.05249350778014e-05,0.846456996062793,0.000136045795614962,1.29700350826045e-06,0.0016286310927788
"COL4A4",32,181,4,9,0,2.58466410407989,1.76419070204325,1.76419070204325,0,1.78703073450137e-08,0.0962331768487028,1.10789871277106e-07,1,5.98387241447784e-05,0.846456996062793,0.000171221484909872,1.88515951071722e-06,0.00222792586645998
"COL5A2",12,93,2,6,1,3.69549751110421,2.49283677148416,2.49283677148416,3.36962251218687,1.02776568700058e-07,0.0506248615693671,6.8734218350297e-07,0.247747253139736,0.000206488404175287,0.846456996062793,0.000863086988047386,2.82434496878814e-06,0.00315243970932903
"RASA2",6,22,6,2,4,1.80367507205745,5.52796072839591,5.52796072839591,26.2807981912738,0.13386945430162,0.00115621426747159,0.00497612099147049,6.5938476279393e-05,0.610295258991116,0.402218184875395,0.288113103284247,5.22688203041799e-06,0.00552701509858568
"FAM58A",0,2,2,2,2,1.04982625805848,20.4210137710488,20.4210137710488,72.442441133987,0.960372331009318,0.000446233713332855,0.00103944983737936,0.000477638385381212,0.994169440555864,0.262013126925328,0.130824317328616,7.70326255150611e-06,0.00773831239611546
"PROKR2",41,20,2,0,0,0.250347220616666,0.570529174200335,0.570529174200335,0,7.78707140991486e-08,0.397064009310453,5.35748736707475e-07,1,0.000173833390773999,0.846456996062793,0.000717581857945993,8.27174649564721e-06,0.00791369804019277
"FLG",63,275,9,0,2,1.81996233099432,0.929036274208195,0.929036274208195,4.03561734270525,4.09175402715789e-06,0.834505797747845,5.82110970692717e-06,0.0979379118590919,0.00376214515417429,0.912935256332804,0.00433155241192125,8.76679193362317e-06,0.00800607348811015
"MYH11",53,52,2,1,2,0.434970594458634,0.237881973118284,0.237881973118284,7.55363630455435,2.00270006119885e-05,0.00245365215604487,1.86686778378409e-05,0.0346357083705231,0.0103169863921913,0.490750206231242,0.00914810747414783,9.86168551475597e-06,0.00861439668160705
"DNAH1",72,69,9,4,0,0.417061187864245,0.845526591114299,0.845526591114299,0,2.27581240630492e-07,0.569311664541521,7.95395589170411e-07,1,0.000381027892125602,0.846456996062793,0.000940017222471925,1.19662702805501e-05,0.0100172640086055
"COL3A1",24,119,12,7,0,2.58554935298924,3.39494104842588,3.39494104842588,0,1.39729267800703e-06,0.000129566295781203,1.16906800373684e-06,1,0.00175456294961496,0.137006128870534,0.0013048747368376,1.71377229181147e-05,0.0137725596459137
"SCN10A",121,143,10,4,0,0.521236740346928,0.682950744572877,0.682950744572877,0,1.85114327644342e-07,0.154959053292996,1.24809346868648e-06,1,0.000338102905154771,0.846456996062793,0.00131976030944106,1.82145430303038e-05,0.0140749378469936
