"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"BRAF",2,69,0,0,0,31.5489599175885,0,0,0,0,0.493814003435334,0,1,0,0.904340106794148,0,0,0
"PTEN",0,4,1,1,6,6.77477896500574,37.1318067107611,37.1318067107611,500.295573301955,0.0174396301401276,0.00221069111261707,0.00159659438325255,2.62561049779562e-12,0.842221745634471,0.904340106794148,0.951742928042244,1.4299672557172e-13,1.43647360673071e-09
"NRAS",1,18,0,0,0,46.8351696408499,0,0,0,7.7715611723761e-16,0.801021626297771,6.43929354282591e-15,1,7.80692177571041e-12,0.904340106794148,6.46859232844577e-11,2.16826556709293e-13,1.45208745028214e-09
"NF1",4,7,10,3,2,0.997807352410157,19.1275434305644,19.1275434305644,22.5686723402,0.996782703549679,7.90021048580059e-10,3.37163297281506e-10,0.00658686599208949,0.999269562248221,1.5872312887022e-05,2.25798260189425e-06,6.18132212082401e-11,3.10472356823688e-07
"ARID2",4,12,7,2,2,2.17392204224193,19.0802489255904,19.0802489255904,42.5385254527688,0.101247857875608,1.02789237677037e-07,7.07245576658799e-07,0.00200288416621975,0.842221745634471,0.00103256928708467,0.00355231772016298,3.02784272099288e-08,0.000121664776214936
"CDKN2A.p16INK4a",0,2,1,1,2,3.57399762060576,62.4662293903235,62.4662293903235,710.798457696316,0.202358374078879,0.000746671181098835,0.00249846016666078,7.81313502126694e-06,0.842221745634471,0.847497688530863,0.951742928042244,3.66049967559512e-07,0.00122571831637303
"OR11H1",2,11,0,0,0,16.2573117904437,0,0,0,1.67240439052918e-07,0.812549851064551,1.04286839186507e-06,1,0.00112000922033739,0.904340106794148,0.00419045377219223,1.54068532843832e-05,0.0442198699052204
"RB1",2,1,0,0,3,0.417363605987564,0,0,130.746309744372,0.389254053301969,0.458578212868169,0.553144861150069,1.10939347307406e-05,0.842221745634471,0.904340106794148,0.951742928042244,7.97828434121461e-05,0.193050673189301
"KCNB2",8,19,1,0,3,1.54196850337279,1.77066191912785,1.77066191912785,122.301751039574,0.251683928298554,0.613331830041261,0.496332252889148,1.34921765069625e-05,0.842221745634471,0.904340106794148,0.951742928042244,8.64793220199944e-05,0.193050673189301
"BRD7",0,0,4,0,0,0,44.0967056636278,44.0967056636278,0,0.223423590267781,1.83690723475349e-05,1.60949475066507e-05,1,0.842221745634471,0.123017677511441,0.05389393172602,0.000193734966101977,0.389232920395482
